id,date,month,year,region,channel,product_category,customer_segment,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue
40,12/21/2009,12,2009,North,Email,General,Premium,15.00,1.25,0.24,22,722,0.01,2.99,1.00,14,558.15,104.25
41,7/14/2011,7,2011,North,Influencer,General,Standard,25.20,2.1,0.22,258,3440,0.03,7.58,-1.37,60,97.15,75.14
42,3/31/2010,3,2010,North,Social Media,Stationery,Premium,5.04,0.42,0.24,181,3618,0.01,5.12,1.00,28,983.08,230.60
43,5/2/2010,5,2010,North,Email,Stationery,Premium,10.50,0.42,0.60,201,6139,0.08,5.19,-0.37,60,958.68,208.50
44,2/2/2011,2,2011,North,Email,General,Premium,1.25,1.25,0.04,105,1692,0.05,2.02,1.37,90,34490.4,146.52
45,7/25/2010,7,2010,North,TV,General,Premium,1173.51,0.85,0.06,164,2824,0.07,6.23,-1.37,14,3874.69,94.71
46,12/10/2009,12,2009,North,Influencer,Storage,Premium,2.90,0.29,0.50,0,586,0.03,4.21,1.00,7,157.85,296.92
47,5/9/2010,5,2010,North,Email,Kitchen,Premium,7.80,0.65,0.49,209,1420,0.12,0.9,-0.37,90,0,196.43
48,8/12/2010,8,2010,North,TV,General,Premium,19.80,1.65,0.28,0,4368,0.11,3.4,-1.37,28,3708.67,110.53
49,8/29/2010,8,2010,North,Social Media,Seasonal,Premium,3.48,0.29,0.07,493,14751,0.04,2.48,-1.37,90,660.33,365.19
50,12/3/2010,12,2010,North,Search,Lighting,Premium,5.90,2.95,0.19,40,654,0.04,2.1,1.00,21,1108.71,106.23
51,11/10/2010,11,2010,North,Affiliate,General,Premium,1.65,1.65,0.07,440,6741,0.11,4.06,0.37,28,776.91,152.48
52,10/26/2010,10,2010,North,Social Media,Storage,Premium,17.00,4.25,0.36,143,5661,0.02,7.59,-0.37,21,7396.02,78.98
53,11/21/2011,11,2011,North,Social Media,General,Budget,12.75,4.25,0.35,386,10060,0.07,5.55,0.37,60,52.35,124.12
54,1/23/2011,1,2011,North,Affiliate,General,Premium,4.95,4.95,0.17,717,11561,0.01,2.95,1.37,30,1632.47,90.01
55,11/25/2010,11,2010,North,Search,Seasonal,Premium,15.00,1.25,0.00,271,3145,0.01,3.16,0.37,21,3247.8,155.48
56,11/22/2011,11,2011,North,Affiliate,General,Standard,0.65,0.65,0.01,169,1819,0.01,1.85,0.37,28,222.3,179.02
57,9/21/2010,9,2010,North,Social Media,Stationery,Premium,0.00,2.95,0.43,0,13481,0.11,5.89,-1.00,30,1264.05,101.83
58,12/16/2009,12,2009,North,Email,Stationery,Premium,10.20,0.85,0.07,0,11575,0.00,5.19,1.00,7,0,159.59
59,8/9/2011,8,2011,North,Email,General,Premium,3.30,1.65,0.02,426,6235,0.01,1.44,-1.37,90,49498.6,143.76
60,9/7/2010,9,2010,North,Email,Storage,Premium,15.90,7.95,0.22,426,11175,0.07,0,-1.00,14,348.94,61.07
61,2/25/2010,2,2010,North,Email,Storage,Premium,3.75,1.25,0.25,428,9533,0.04,6.79,1.37,21,4197.01,129.77
62,12/8/2011,12,2011,North,Search,Stationery,Premium,5.04,0.42,0.07,125,1879,0.05,9.02,1.00,21,3479.76,213.66
63,11/15/2011,11,2011,North,Search,Storage,Premium,2.08,2.08,0.21,0,13498,0.03,1.02,0.37,30,1540.77,146.70
64,5/9/2010,5,2010,North,Influencer,General,Standard,22.50,3.75,0.02,426,4731,0.00,3.02,-0.37,0,447.56,145.89
65,4/15/2011,4,2011,North,Social Media,General,Premium,29.70,4.95,0.27,7,165,0.01,5.54,0.37,30,9674.75,80.25
66,11/24/2010,11,2010,North,TV,Storage,Premium,49.50,1.65,0.33,585,9677,0.10,1.52,0.37,90,223.4,168.03
67,12/6/2010,12,2010,North,TV,General,Premium,4.20,2.1,0.19,319,1720,0.09,0.93,1.00,60,2479.41,151.11
68,2/17/2010,2,2010,North,Email,Storage,Premium,12.60,2.1,0.06,170,2579,0.12,0.32,1.37,14,649.32,164.02
69,8/4/2011,8,2011,North,Search,Storage,Premium,58.50,1.95,0.39,423,6538,0.07,2.42,-1.37,60,5834.84,100.61
70,7/25/2010,7,2010,North,Email,Stationery,Standard,30.00,15,0.28,405,7075,0.00,6.42,-1.37,14,166.2,24.09
71,12/3/2009,12,2009,North,Social Media,General,Premium,7.65,2.55,0.06,601,17594,0.01,4.05,1.00,28,238.82,152.77
72,12/5/2010,12,2010,North,Email,General,Premium,0.00,1.65,0.02,0,8833,0.03,2.2,1.00,30,21566.1,168.11
73,11/12/2010,11,2010,North,TV,General,Standard,2.95,2.95,0.12,327,13371,0.06,3.08,0.37,90,178.1,102.85
74,8/26/2011,8,2011,North,Email,Kitchen,Premium,15.00,1.25,0.00,81,1735,0.07,7.61,-1.37,21,9912.78,93.78
75,10/7/2010,10,2010,North,Social Media,Stationery,Premium,10.08,0.42,0.10,177,9379,0.04,6.18,-0.37,21,1845.17,228.69
76,10/14/2010,10,2010,North,TV,Kitchen,Premium,17.85,5.95,0.37,179,2960,0.07,2.32,-0.37,7,3146.44,87.89
77,11/25/2010,11,2010,North,Email,Storage,Premium,1487.82,1.95,0.36,506,11583,0.02,1.65,0.37,0,4323.62,192.10
78,10/25/2011,10,2011,North,Email,Lighting,Standard,3.40,0.85,0.19,74,899,0.00,6.89,-0.37,60,1791.63,119.88
79,9/5/2010,9,2010,North,Social Media,General,Premium,6.95,6.95,0.05,145,1725,0.08,4.19,-1.00,7,0,72.14
80,8/8/2010,8,2010,North,Email,General,Standard,0.00,1.25,0.11,35,0,0.13,6.51,-1.37,28,186.4,91.20
81,3/29/2011,3,2011,North,Email,General,Premium,15.00,3.75,0.44,289,5861,0.02,6.85,1.00,90,164.6,93.25
82,5/20/2010,5,2010,North,Search,Storage,Premium,11.80,2.95,0.17,1490,59054,0.01,3.12,-0.37,90,1084.85,150.42
83,11/15/2010,11,2010,North,Search,Storage,Premium,5.00,1.25,0.16,500,8264,0.05,6.81,0.37,14,1846.44,163.76
84,4/15/2010,4,2010,North,Social Media,General,Premium,15.00,3.75,0.14,360,5445,0.05,0.18,0.37,90,74.76,172.47
85,6/21/2010,6,2010,North,Search,General,Standard,1.25,1.25,0.17,23,539,0.01,4.61,-1.00,14,443.34,70.77
86,7/22/2011,7,2011,North,Affiliate,General,Premium,34.56,0.72,0.26,183,5215,0.00,0,-1.37,7,15137.43,107.07
87,11/7/2011,11,2011,North,Influencer,Stationery,Premium,3.75,1.25,0.27,214,11206,0.05,3.95,0.37,30,0,159.07
88,5/12/2010,5,2010,North,Email,Kitchen,Budget,10.20,0.85,0.00,328,4212,0.05,3.67,-0.37,0,120,187.54
89,7/1/2010,7,2010,North,Email,General,Premium,22.50,3.75,0.31,160,3857,0.11,1.33,-1.37,28,69340.38,106.74
90,2/12/2010,2,2010,North,Search,Seasonal,Premium,3.90,1.95,0.03,276,6508,0.05,8.34,1.37,14,674.32,121.81
91,12/6/2010,12,2010,North,Social Media,General,Premium,29.70,4.95,0.19,0,810,0.02,3.79,1.00,7,4030.77,116.38
92,6/5/2011,6,2011,Central,Social Media,Stationery,Standard,40.50,6.75,0.12,183,3066,0.13,5.07,-1.00,28,517.55,71.75
93,9/28/2011,9,2011,North,TV,General,Premium,25.20,2.1,0.03,521,8420,0.04,7.88,-1.00,60,5631.04,105.92
94,8/19/2010,8,2010,North,Social Media,Seasonal,Premium,60.00,1.25,0.57,280,5277,0.00,1.32,-1.37,60,1031.64,113.68
95,12/6/2011,12,2011,North,Search,General,Premium,0.00,1.25,0.02,170,4138,0.01,6.75,1.00,30,69806.44,149.49
96,11/24/2011,11,2011,North,TV,Seasonal,Premium,19.80,1.65,0.14,0,7215,0.04,4.84,0.37,28,4803.19,116.71
97,11/22/2010,11,2010,North,Email,General,Premium,19.90,9.95,0.07,201,2708,0.02,1.46,0.37,90,18232.78,114.89
98,12/6/2010,12,2010,North,Social Media,General,Premium,1.65,0.55,0.05,443,3948,0.14,4.7,1.00,14,7326.07,289.58
99,7/7/2011,7,2011,North,Email,Storage,Standard,10.00,1.25,0.30,568,7583,0.12,3.53,-1.37,0,13.95,136.90
100,6/1/2010,6,2010,North,Search,Storage,Premium,19.90,9.95,0.44,346,6926,0.03,5.72,-1.00,30,1125.9,43.86
101,2/1/2011,2,2011,North,Search,General,Premium,70.80,2.95,0.20,122,5577,0.22,4.73,1.37,90,31157.501,222.56
102,5/24/2010,5,2010,North,Search,Storage,Premium,2.75,0.55,0.09,528,9122,0.14,3.04,-0.37,60,2821.5,299.66
103,4/1/2011,4,2011,North,TV,General,Standard,8.50,8.5,0.18,265,4137,0.07,2.89,0.37,21,2427.01,95.15
104,5/4/2011,5,2011,North,Influencer,Stationery,Premium,15.90,7.95,0.20,281,8886,0.02,1.4,-0.37,60,4064.65,124.64
105,7/12/2011,7,2011,North,Email,Storage,Premium,41.60,2.08,0.11,230,5558,0.07,7.22,1.00,7,5632.14,136.09
106,6/2/2011,6,2011,North,Search,General,Premium,0.95,0.95,0.18,800,13996,0.05,4.56,-1.00,7,9029.63,181.12
107,11/9/2011,11,2011,North,Email,General,Premium,25.20,2.1,0.34,438,16145,0.07,2.35,0.37,90,3988.11,138.27
108,12/19/2010,12,2010,North,Email,Seasonal,Premium,2.50,1.25,0.10,280,9759,0.09,8.31,1.00,28,531.26,146.62
109,11/30/2011,11,2011,North,Social Media,Seasonal,Premium,3.30,1.65,0.06,886,14238,0.02,2.49,0.37,30,1220.11,180.14
110,7/28/2010,7,2010,North,Email,Kitchen,Premium,15.30,2.55,0.31,266,7949,0.00,5.04,-1.37,60,1157.77,62.29
111,6/27/2010,6,2010,North,Search,General,Premium,1.65,1.65,0.23,90,816,0.01,3.23,-1.00,28,2516.49,96.19
112,3/15/2010,3,2010,North,Social Media,Seasonal,Premium,35.70,5.95,0.40,661,17572,0.08,2.05,1.00,28,490.93,149.92
113,12/2/2009,12,2009,North,Influencer,Kitchen,Standard,6.75,6.75,0.54,19,470,0.02,5.45,1.00,7,360.79,56.00
114,6/21/2011,6,2011,North,TV,General,Premium,3.48,0.29,0.09,319,7303,0.00,3.43,-1.00,30,33884.85,246.97
115,2/6/2011,2,2011,North,Search,Storage,Budget,19.50,1.95,0.37,601,11723,0.01,4.55,1.37,14,114.5,125.04
116,12/1/2010,12,2010,North,Affiliate,General,Premium,3.95,3.95,0.15,216,4023,0.07,2.05,1.00,0,18446.75,110.72
117,4/14/2011,4,2011,North,Search,Storage,Premium,19.80,4.95,0.28,172,6412,0.00,2.78,0.37,30,6196.69,100.44
118,7/20/2011,7,2011,North,Search,Storage,Standard,2.08,2.08,0.43,978,12541,0.15,5.9,-1.37,60,13.36,118.67
119,6/28/2010,6,2010,North,Search,Storage,Premium,19.50,1.95,0.03,506,17588,0.10,0,-1.00,90,1193.38,168.63
120,10/13/2011,10,2011,North,Affiliate,General,Premium,4.68,0.39,0.06,161,1552,0.03,4.47,-0.37,7,2238.83,198.19
121,11/1/2011,11,2011,North,Search,Storage,Premium,1127.08,10.95,0.23,186,1898,0.06,4.09,0.37,28,107996.14,151.40
122,3/27/2011,3,2011,North,Search,Storage,Premium,2.95,2.95,0.11,701,62096,0.05,3.21,1.00,21,1753.8,138.85
123,1/14/2011,1,2011,North,Affiliate,General,Premium,20.00,1.25,0.04,310,9639,0.10,6.25,1.37,90,12424.62,183.24
124,5/8/2011,5,2011,North,Search,Seasonal,Premium,5.10,0.85,0.18,384,5495,0.10,1.85,-0.37,7,2905.9,214.88
125,7/14/2011,7,2011,North,Social Media,General,Premium,0.58,0.29,0.18,222,5016,0.06,6.17,-1.37,7,1533.24,267.39
126,4/28/2010,4,2010,North,Affiliate,Seasonal,Premium,10.20,0.85,0.23,222,7324,0.05,6.24,0.37,28,10209.04,141.35
127,5/9/2011,5,2011,North,TV,General,Premium,8.30,4.15,0.60,204,3462,0.01,0,-0.37,14,16621.85,52.22
128,2/14/2011,2,2011,North,TV,General,Premium,1.45,1.45,0.32,0,9478,0.01,2.04,1.37,21,1942.78,106.19
129,3/28/2010,3,2010,North,Affiliate,Lighting,Premium,14.85,4.95,0.49,126,2743,0.05,3.46,1.00,60,8117.48,82.18
130,11/30/2010,11,2010,North,Search,General,Premium,127.50,2.55,0.10,263,1757,0.00,7.36,0.37,7,1669.9,122.15
131,12/3/2009,12,2009,North,Email,Storage,Premium,39.00,1.95,0.14,450,7468,0.04,0.64,1.00,60,995.08,192.15
132,4/1/2011,4,2011,North,Social Media,General,Standard,1447.19,12.75,0.02,1314,20968,0.01,5.17,0.37,0,2827.94,177.62
133,3/9/2010,3,2010,North,Affiliate,General,Premium,121.68,1.69,0.25,323,5170,0.10,4.85,1.00,14,5130.48,164.50
134,10/12/2010,10,2010,North,Affiliate,Storage,Premium,8.85,2.95,0.06,744,41615,0.02,7.5,-0.37,21,335.3,95.92
135,1/28/2010,1,2010,North,Affiliate,General,Premium,15.30,2.55,0.02,9,96,0.00,4.18,1.37,7,1530.17,69.99
136,12/5/2010,12,2010,North,Search,General,Premium,9.95,9.95,0.28,148,2389,0.03,5.7,1.00,60,5828.52,95.62
137,10/24/2011,10,2011,North,Social Media,General,Premium,23.80,5.95,0.12,135,3118,0.02,0,-0.37,60,3607.33,109.39
138,10/21/2010,10,2010,North,Search,Storage,Premium,13.20,0.55,0.46,0,11184,0.01,4.85,-0.37,21,0,188.27
139,9/16/2011,9,2011,North,Social Media,General,Premium,0.00,4.15,0.24,433,9777,0.05,3.65,-1.00,21,6010.92,99.76
140,9/5/2011,9,2011,North,Email,General,Premium,5.80,1.45,0.22,404,3196,0.08,4.5,-1.00,28,28795.03,153.06
141,9/23/2011,9,2011,North,Email,Storage,Premium,16.50,1.65,0.25,401,9024,0.03,0.88,-1.00,7,9764.07,125.45
142,8/8/2010,8,2010,North,TV,General,Premium,0.00,2.95,0.55,98,1040,0.08,8.31,-1.37,90,295.35,45.05
143,12/2/2010,12,2010,North,Affiliate,General,Premium,14.85,4.95,0.08,717,10758,0.00,3.12,1.00,30,7676.6,119.38
144,6/6/2010,6,2010,North,Email,General,Premium,22.47,7.49,0.11,357,17305,0.03,3.47,-1.00,30,3283.8,77.57
145,9/28/2011,9,2011,North,Search,General,Standard,15.80,3.95,0.16,394,14862,0.04,1.02,-1.00,90,534.01,130.19
146,7/27/2010,7,2010,North,Search,General,Premium,10.15,251.22,0.25,355,2523,0.22,2.09,-1.37,30,0,105.03
147,1/27/2010,1,2010,North,Social Media,Kitchen,Premium,11.25,3.75,0.06,205,6804,0.02,3.72,1.37,90,71.65,142.66
148,10/6/2010,10,2010,North,Affiliate,General,Premium,0.95,0.19,0.08,19,164,0.03,0.77,-0.37,14,9218.35,154.24
149,4/19/2011,4,2011,North,Email,General,Standard,15.60,0.65,0.08,460,4878,0.12,4.61,0.37,60,250.45,246.53
150,12/1/2010,12,2010,North,Social Media,Storage,Standard,4.20,2.1,0.31,131,1862,0.00,3.1,1.00,0,559.44,118.97
151,12/14/2009,12,2009,North,Social Media,Kitchen,Premium,9.95,9.95,0.46,45,891,0.17,5.23,1.00,90,3015.81,132.89
152,9/22/2011,9,2011,North,Search,General,Premium,24.96,2.08,0.14,111,2179,0.02,5.63,-1.00,7,1830.84,75.16
153,7/18/2011,7,2011,North,Email,Stationery,Premium,46.80,0.65,0.00,363,14893,0.02,5.88,-1.37,14,1269.31,127.32
154,10/10/2011,10,2011,North,Search,Stationery,Premium,49.50,4.95,0.10,254,3696,0.14,7.48,-0.37,60,1742.48,132.32
155,10/16/2011,10,2011,North,Affiliate,General,Premium,5.90,2.95,0.60,631,7002,0.14,1.26,-0.37,28,1945.12,127.78
156,12/5/2011,12,2011,North,TV,General,Premium,4.13,4.13,0.33,228,5634,0.03,2.94,1.00,90,56327.08,89.44
157,10/30/2011,10,2011,North,TV,General,Premium,11.90,5.95,0.60,64,2336,0.00,5.44,-0.37,21,1175.98,37.83
158,8/24/2010,8,2010,North,Email,General,Premium,5.80,1.45,0.41,304,5691,0.02,6.48,-1.37,7,1940.62,85.39
159,2/21/2011,2,2011,North,Search,Kitchen,Premium,8.94,1.49,0.02,183,3562,0.00,4.41,1.37,60,4712.11,162.63
160,12/5/2010,12,2010,North,Affiliate,Seasonal,Premium,4.25,0.85,0.31,305,4219,0.03,3.52,1.00,7,5052.16,167.64
161,4/10/2011,4,2011,North,Search,Kitchen,Premium,69.52,0.79,0.15,33,445,0.01,4.37,0.37,7,4898.85,128.86
162,10/10/2010,10,2010,East,Email,Kitchen,Premium,15.60,0.65,0.07,209,1878,0.05,0.83,-0.37,7,953.97,189.77
163,8/5/2011,8,2011,North,Influencer,General,Premium,5.90,2.95,0.09,83,1987,0.01,8.12,-1.37,60,277302.85,60.26
164,4/6/2011,4,2011,North,Influencer,General,Premium,9.90,1.65,0.41,115,3679,0.02,2.96,0.37,14,4440.65,122.06
165,6/8/2011,6,2011,North,Influencer,General,Premium,0.00,4.15,0.30,323,9015,0.01,5.29,-1.00,0,41955.04,70.36
166,2/5/2010,2,2010,North,Email,General,Premium,17.40,1.45,0.16,278,6299,0.05,0,1.37,14,3596.78,148.00
167,8/9/2011,8,2011,North,Search,General,Premium,17.70,2.95,0.20,631,5844,0.09,0,-1.37,28,4469.62,104.87
168,7/11/2011,7,2011,North,Social Media,Stationery,Premium,5.04,0.42,0.03,335,12401,0.00,6.62,-1.37,0,90347.09,237.62
169,9/12/2011,9,2011,North,Affiliate,Storage,Premium,15.00,1.25,0.22,108,4654,0.09,6.58,-1.00,60,0,101.23
170,9/26/2011,9,2011,North,Email,General,Standard,1555.53,2.1,0.14,300,4328,0.03,0,-1.00,14,882.24,81.68
171,9/26/2011,9,2011,North,Social Media,Seasonal,Premium,5.00,1.25,0.10,662,7472,0.04,0,-0.37,0,2668.08,184.46
172,10/25/2011,10,2011,North,TV,General,Premium,12.75,4.25,0.20,122,2049,0.01,4.07,-1.37,60,744.27,52.88
173,11/24/2010,11,2010,North,Affiliate,General,Standard,3.30,1.65,0.29,186,1209,0.12,5.03,0.37,21,809.81,128.37
174,1/22/2010,1,2010,North,Social Media,General,Budget,15.00,1.25,0.27,242,3806,0.04,6.33,1.37,14,96,151.24
175,2/13/2011,2,2011,North,Affiliate,General,Premium,1.65,1.65,0.23,94,1273,0.01,0,1.37,60,1479.84,91.98
176,11/1/2010,11,2010,North,Affiliate,Seasonal,Premium,10.20,0.85,0.09,0,2162,0.09,3.97,0.37,7,2473.42,175.49
177,11/17/2011,11,2011,North,Search,General,Standard,4.20,2.1,0.12,79,1112,0.07,3.61,0.37,7,702.57,109.46
178,8/22/2010,8,2010,North,Social Media,General,Premium,0.84,0.42,0.34,80,1578,0.05,2.13,-1.37,60,1384.09,192.78
179,4/20/2010,4,2010,North,Email,General,Standard,22.50,3.75,0.14,0,13067,0.14,4.9,0.37,7,470.72,125.36
180,12/3/2009,12,2009,North,Social Media,General,Premium,2.10,2.1,0.03,23,749,0.05,5.31,1.00,28,236.25,96.34
181,11/8/2011,11,2011,North,Affiliate,Lighting,Standard,17.90,8.95,0.05,83,3447,0.05,1.94,0.37,14,612.74,102.94
182,8/14/2011,8,2011,North,Social Media,Storage,Standard,2.20,0.55,0.27,366,13324,0.01,5.32,-1.37,7,804.15,188.54
183,11/30/2011,11,2011,North,Search,Stationery,Premium,9.96,0.83,0.26,227,4220,0.01,5.37,0.37,30,23162.42,176.89
184,5/18/2010,5,2010,North,Email,Seasonal,Premium,7.49,7.49,0.14,516,9046,0.06,6.1,-0.37,7,4258.8,73.13
185,10/25/2010,10,2010,North,Affiliate,Seasonal,Premium,11.80,2.95,0.32,374,7374,0.04,3.6,-0.37,14,4811.72,95.82
186,8/25/2010,8,2010,North,Influencer,Storage,Premium,13.20,1.65,0.55,333,10057,0.07,3.52,-1.37,14,107.2,98.03
187,3/31/2011,3,2011,North,Email,Storage,Premium,16.50,1.65,0.15,681,19285,0.11,3.12,1.00,60,3657.23,193.26
188,5/12/2010,5,2010,North,TV,General,Premium,15.60,1.95,0.26,203,1830,0.00,6.18,-0.37,28,2720.56,79.14
189,8/18/2010,8,2010,North,Search,Kitchen,Premium,17.70,2.95,0.60,524,22391,0.05,2.44,-1.37,28,221.4,81.41
190,5/15/2011,5,2011,North,Search,Stationery,Premium,1.25,1.25,0.46,641,7855,0.09,3.24,-0.37,28,1013.6,171.35
191,2/8/2010,2,2010,North,Influencer,Storage,Premium,26.40,0.55,0.43,543,10422,0.20,6.25,1.37,60,552.13,317.47
192,6/19/2011,6,2011,North,Search,Kitchen,Standard,3.30,1.65,0.12,351,6268,0.16,0.25,-1.00,0,246.58,172.19
193,11/30/2010,11,2010,North,Influencer,Kitchen,Premium,15.00,1.25,0.47,179,3380,0.09,7.69,0.37,21,2053.03,165.20
194,11/3/2011,11,2011,North,Affiliate,Lighting,Standard,17.70,2.95,0.22,0,3284,0.05,0.31,0.37,21,317.89,147.18
195,7/5/2011,7,2011,North,Search,General,Standard,14.85,4.95,0.10,941,17950,0.05,3.05,-1.37,28,717.34,90.29
196,12/3/2009,12,2009,North,Email,General,Standard,102.00,2.55,0.32,631,22129,0.05,1.98,1.00,60,777,173.90
197,3/28/2010,3,2010,North,Affiliate,General,Standard,1222.05,1.65,0.15,48,600,0.03,4.85,1.00,60,23.9,142.98
198,11/10/2011,11,2011,North,Influencer,Storage,Premium,4.16,2.08,0.30,549,9399,0.01,3.4,0.37,28,5193.98,144.50
199,11/17/2011,11,2011,North,Search,Seasonal,Standard,0.00,0.85,0.04,304,3082,0.07,3.52,0.37,30,593.1,213.14
200,7/20/2011,7,2011,North,Social Media,Storage,Standard,1.10,0.55,0.10,1115,21393,0.03,0.93,-1.37,14,144.08,293.96
201,7/15/2011,7,2011,North,Social Media,General,Premium,15.00,1.25,0.33,265,2591,0.07,2.3,-1.37,30,4028.93,158.99
202,3/22/2011,3,2011,North,Affiliate,General,Premium,16.60,4.15,0.17,278,8787,0.03,6.93,1.00,7,23566.98,108.57
203,10/2/2011,10,2011,North,Email,General,Premium,7.50,3.75,0.38,117,2337,0.02,0,-0.37,7,1978.48,75.38
204,12/8/2010,12,2010,North,Search,General,Premium,25.50,4.25,0.06,583,18646,0.07,5.71,1.00,21,818.42,146.25
205,12/15/2009,12,2009,North,Search,Seasonal,Premium,59.50,5.95,0.06,516,12426,0.04,9.42,1.00,14,155.8,115.01
